u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,ref,bridge,junction,tunnel,geometry
8682418,13461655089,0,693003010,residential,,,Cumberland Street,False,False,61.03592801545813,,,,,"LINESTRING (-63.119018 46.238024, -63.118491 46.237613)"
8682418,8601207,0,693003010,residential,,,Cumberland Street,False,True,61.32627309236819,,,,,"LINESTRING (-63.119018 46.238024, -63.119537 46.238442)"
8682418,12162175,0,2018723,residential,,,Sydney Street,True,False,152.42212441740253,,,,,"LINESTRING (-63.119018 46.238024, -63.119075 46.237989, -63.11929 46.237852, -63.120405 46.23715, -63.120492 46.237108)"
8682424,2099078419,0,2018823,tertiary,2,,Water Street,False,True,161.6872726431392,,,,,"LINESTRING (-63.124853 46.232027, -63.124974 46.231946, -63.126289 46.231073, -63.126378 46.231027)"
8682424,8598672,0,393243508,tertiary,2,50,Water Street,False,False,158.821281008206,,,,,"LINESTRING (-63.124853 46.232027, -63.124745 46.232096, -63.123441 46.232931, -63.123338 46.232997)"
8682424,10295257,0,393243509,tertiary,2,,Queen Street,False,False,65.66742101971715,,,,,"LINESTRING (-63.124853 46.232027, -63.12491 46.232072, -63.125348 46.23242, -63.125414 46.232472)"
8682424,5039676956,0,516215432,tertiary,,,Queen Street,False,False,214.54870659184576,,,,,"LINESTRING (-63.124853 46.232027, -63.124796 46.231984, -63.124363 46.231661, -63.124215 46.231562, -63.123802 46.231255, -63.123751 46.231216, -63.123715 46.231188, -63.123523 46.23104, -63.123447 46.230958, -63.123094 46.230696, -63.123069 46.230667, -63.123043 46.230578)"
8682425,8684884,0,2689209,residential,,,Hillsborough Street,False,True,68.87654765746174,,,,,"LINESTRING (-63.120289 46.23487, -63.120867 46.235343)"
8682425,6964848725,0,393243508,tertiary,2,50,Water Street,False,False,70.03163567743393,,,,,"LINESTRING (-63.120289 46.23487, -63.11963 46.235305)"
8682425,8597675,0,393243508,tertiary,2,50,Water Street,False,True,154.10635893081852,,,,,"LINESTRING (-63.120289 46.23487, -63.120324 46.234849, -63.120854 46.234529, -63.121735 46.234009, -63.121808 46.233966)"
8682427,6964848723,0,334308264,residential,,,Weymouth Street,False,True,8.30219150316469,,,,,"LINESTRING (-63.118728 46.235809, -63.11882 46.235848)"
8682427,1775665383,0,744187564,tertiary,2,50,Water Street,True,False,159.93421061955155,,,,,"LINESTRING (-63.118728 46.235809, -63.118314 46.23613, -63.118193 46.236232, -63.11808 46.236395, -63.117991 46.236568, -63.117832 46.237068)"
8684521,11000132,0,2749204,residential,,,Grafton Street,False,True,148.81331778740233,,,,,"LINESTRING (-63.131095 46.232529, -63.131158 46.232487, -63.131576 46.232207, -63.13201 46.231925, -63.132432 46.23166, -63.132506 46.231614)"
8684521,10858051,0,13736052,tertiary,,,Grafton Street,False,False,156.29138799435185,,,,,"LINESTRING (-63.131095 46.232529, -63.131042 46.232568, -63.13025 46.233068, -63.12969 46.233431, -63.129602 46.233482)"
8684521,2611345483,0,334345337,residential,,,Rochford Street,False,False,117.44793273047313,,,,,"LINESTRING (-63.131095 46.232529, -63.131017 46.232468, -63.130622 46.232157, -63.130097 46.231783, -63.130056 46.231755)"
8684521,2603567953,0,1354784557,residential,,,Rochford Street,False,True,122.65818477873944,,,,,"LINESTRING (-63.131095 46.232529, -63.131164 46.232581, -63.132108 46.233285, -63.132175 46.233341)"
8684860,8684870,0,2689209,residential,,,Hillsborough Street,False,False,120.36736348947231,,,,,"LINESTRING (-63.126704 46.23973, -63.125641 46.238935)"
8684860,310826910,0,28305405,primary,2,40,Euston Street,False,False,58.894866340509736,,,,,"LINESTRING (-63.126704 46.23973, -63.126158 46.240101)"
8684860,12785450,0,28305405,primary,2,40,Euston Street,False,True,59.109598766401376,,,,,"LINESTRING (-63.126704 46.23973, -63.127279 46.239377)"
8684860,12603146,0,2779743,residential,,,Upper Hillsborough Street,False,False,388.0430020161837,,,,,"LINESTRING (-63.126704 46.23973, -63.127407 46.240688, -63.128982 46.242844)"
8684870,12603148,0,2689209,residential,,,Hillsborough Street,False,False,69.02873566844688,,,,,"LINESTRING (-63.125641 46.238935, -63.125053 46.238467)"
8684870,8684860,0,2689209,residential,,,Hillsborough Street,False,True,120.36736348947231,,,,,"LINESTRING (-63.125641 46.238935, -63.126704 46.23973)"
8684870,8597710,0,2764558,residential,2,,Fitzroy Street,True,False,156.77734459749166,,,,,"LINESTRING (-63.125641 46.238935, -63.127129 46.237971)"
8684884,8682425,0,2689209,residential,,,Hillsborough Street,False,False,68.87654765746174,,,,,"LINESTRING (-63.120867 46.235343, -63.120289 46.23487)"
8684884,12162206,0,2689209,residential,,,Hillsborough Street,False,True,61.515800722699936,,,,,"LINESTRING (-63.120867 46.235343, -63.121439 46.23573)"
8684884,8597687,0,2372086,residential,,,King Street,True,False,157.12811978686554,,,,,"LINESTRING (-63.120867 46.235343, -63.122276 46.234437, -63.122363 46.234381)"
8712426,12514877,0,2779749,residential,,,Edward Street,False,True,126.01409472118148,,,,,"LINESTRING (-63.119114 46.240114, -63.119227 46.240202, -63.120116 46.240904, -63.120194 46.240966)"
8712426,10776127101,0,"[335210728, 906289542]",primary,4,"['40', '50']",Grafton Street,False,False,172.76845931301824,,,,,"LINESTRING (-63.119114 46.240114, -63.119082 46.240134, -63.118761 46.240347, -63.118403 46.240573, -63.117998 46.240832, -63.117841 46.240923, -63.117702 46.241005, -63.117577 46.241071, -63.117437 46.241146)"
8712426,10858066,0,335210728,primary,4,40,Grafton Street,False,True,147.7566174960878,,,,,"LINESTRING (-63.119114 46.240114, -63.119546 46.239844, -63.119624 46.239795, -63.119937 46.239599, -63.120149 46.239466, -63.120506 46.239256, -63.120549 46.23923)"
9105835,2098680299,0,2111818,residential,,,Upper Prince Street,False,False,65.91497121939088,,,,,"LINESTRING (-63.131726 46.244066, -63.132064 46.244611)"
9105835,12785435,0,2111818,residential,,,Upper Prince Street,False,True,72.17937227620038,,,,,"LINESTRING (-63.131726 46.244066, -63.131312 46.243483)"
9105835,12162130,0,2689214,residential,,,Summer Street,False,False,73.87996636512736,,,,,"LINESTRING (-63.131726 46.244066, -63.130846 46.244332)"
9105835,9726836,0,2689214,residential,,,Summer Street,False,True,145.28506233365997,,,,,"LINESTRING (-63.131726 46.244066, -63.133365 46.243541, -63.13344 46.243517)"
9105840,12162195,0,1385989624,tertiary,3,50,Allen Street,False,False,64.87852842443476,,,,,"LINESTRING (-63.13274 46.245706, -63.131953 46.245916)"
9105840,2098680362,0,2111818,residential,,,Upper Prince Street,False,True,69.45658887430244,,,,,"LINESTRING (-63.13274 46.245706, -63.132709 46.245655, -63.132389 46.24513)"
9105840,9105897,0,"[1385989624, 1385989623]",tertiary,"['4', '3']",50,Allen Street,False,True,145.5729759546238,,,,,"LINESTRING (-63.13274 46.245706, -63.133001 46.245628, -63.13313 46.245589, -63.134097 46.245337, -63.134503 46.24523)"
9105896,11698101578,0,390626828,tertiary,,,Kirkwood Drive,False,True,85.73067393427044,,,,,"LINESTRING (-63.136502 46.244619, -63.137522 46.244307)"
9105896,2098680095,0,199881487,residential,2,,Willow Street,False,True,139.29151577710815,,,,,"LINESTRING (-63.136502 46.244619, -63.136298 46.244298, -63.13623 46.24419, -63.135771 46.243473)"
9105896,9105897,0,390626828,tertiary,,,Kirkwood Drive,False,False,168.07451933772472,,,,,"LINESTRING (-63.136502 46.244619, -63.135629 46.244894, -63.135478 46.244941, -63.135359 46.244976, -63.135112 46.245049, -63.134939 46.245104, -63.134503 46.24523)"
9105897,10185708,0,335211257,primary,3,40,University Avenue,False,False,76.65469400552566,,,,,"LINESTRING (-63.134503 46.24523, -63.134233 46.244785, -63.134117 46.244595)"
9105897,9105896,0,390626828,tertiary,,,Kirkwood Drive,False,True,168.07451933772472,,,,,"LINESTRING (-63.134503 46.24523, -63.134939 46.245104, -63.135112 46.245049, -63.135359 46.244976, -63.135478 46.244941, -63.135629 46.244894, -63.136502 46.244619)"
